Date,ANET,CRWD,LWMHF,LLY,CEG,NVDA.NE,LRLCF,MRU.TO,SSB,COP,TMUS,BIIB,TSM,DOL.TO,NKE
10/10/2023,194.729996,183.850006,742.25,579.309998,113,44.68,419.5,72.339996,68.529999,120.389999,142.410004,264.140015,90.610001,95.089996,97.620003
10/11/2023,191.860001,188.220001,726,605.280029,115.07,43.27,418.25,71.620003,68.93,120.040001,143.119995,266.519989,92,95.309998,98.650002
10/12/2023,193.009995,187.559998,708.059998,610.5,115.720001,43.900002,412.25,71.849998,67.910004,121.110001,141.139999,260.98999,92.419998,95.510002,99.25
10/13/2023,189.850006,185.720001,694,609.200012,113.690002,41.82,404.5,71.970001,66.870003,124.860001,141.669998,262.26001,90.459999,95.470001,99.910004
10/16/2023,196.839996,187.669998,709.190002,616.640015,116.830002,40.130001,403.75,70.629997,68.050003,125.309998,143.240005,267.940002,91.220001,94.809998,102.040001
10/17/2023,195.410004,187.139999,705.5,608.309998,117.150002,40.049999,406.25,70.209999,70,125.459999,142.770004,267.429993,91,94.019997,103.010002
10/18/2023,194.199997,187.789993,703.98999,607.23999,116.07,39.389999,407.049988,70.129997,68.690002,126.589996,139.690002,263.5,89.599998,94.110001,103.769997
10/19/2023,191.479996,184.520004,703.559998,590.799988,114.290001,40.860001,391.829987,70.199997,67.260002,126.379997,137.839996,257.299988,92.910004,95.040001,103.050003
10/20/2023,186.110001,178.759995,702.5,584.640015,112.099998,41.549999,393.850006,69.809998,65.559998,124.059998,136.990005,257.450012,91.309998,95.059998,102.669998
10/23/2023,186.520004,179.080002,713,576.650024,112.110001,39.759998,407.75,70.220001,64.970001,121.339996,137.740005,253.389999,91.110001,96.059998,102.809998
10/24/2023,190.490005,182.820007,727.940002,592.429993,114.269997,38.360001,419.75,69.519997,64.599998,119.949997,141.070007,252.110001,91.639999,96.209999,105.18
10/25/2023,186.089996,175.380005,715.590027,586.460022,112.029999,38.5,421,68.739998,64.489998,120.410004,140.990005,246.720001,87.639999,94.150002,103.540001
10/26/2023,169.820007,171.639999,703,568.099976,112.720001,39.139999,412.059998,70.370003,66.269997,118.309998,142.860001,241.080002,87.449997,95.519997,100.019997
10/27/2023,176.190002,172.820007,693.5,560.22998,110.779999,38.810001,405.350006,70.440002,65.699997,117.800003,140,234.520004,85.989998,94.699997,97.980003
10/30/2023,175.720001,174.610001,713.900024,565.710022,113.029999,40.23,412.730011,71.470001,65.959999,118.139999,141.570007,237.210007,86.059998,95.910004,101.800003
10/31/2023,200.369995,176.770004,717.390015,553.929993,112.919998,41.349998,425.350006,72.769997,66.099998,118.800003,143.860001,237.539993,86.309998,95.889999,102.769997
11/1/2023,210.839996,178.350006,715.960022,554.460022,114.849998,42.75,414.700012,73.330002,66.779999,116.669998,145.050003,239.619995,87.800003,95.959999,100.879997
11/2/2023,211.679993,182.800003,746.369995,580.289978,117.190002,43.43,428.720001,74.269997,70.599998,122.019997,146.5,241.860001,90.480003,97.300003,105.080002
11/3/2023,212.490005,188.240005,752.01001,567.809998,117.07,43.630001,429.5,73.919998,72.879997,119.75,147.490005,249.5,91.790001,97.029999,107.059998
11/6/2023,212.809998,186.779999,746.090027,595.190002,124.730003,44.279999,430.660004,73.919998,71.550003,118.470001,147.339996,248.630005,92.599998,98.129997,107.25
11/7/2023,212.600006,192.360001,744.539978,599.929993,119.870003,44.580002,431.720001,74.379997,71.489998,115.25,147.130005,245.610001,92.410004,98.580002,109.360001
11/8/2023,209.600006,193.830002,754,619.130005,121.18,45.970001,449.200012,74.529999,70.190002,114.449997,146.639999,231.690002,92,98.870003,109.389999
11/9/2023,211.639999,190.759995,761,591.320007,120.629997,46.490002,450,74.599998,68.459999,114.150002,146.889999,224.649994,91.620003,99.690002,107
11/10/2023,206.839996,196.309998,738.25,597.710022,121.769997,47.369999,440.399994,75.580002,68.82,115.610001,147.610001,224.789993,97.440002,99.370003,106.110001
11/13/2023,210.279999,200.960007,740,612.710022,121.720001,46.439999,443.75,70.43,68.93,115.360001,147.210007,222.589996,96.419998,98.720001,104.199997
11/14/2023,215.199997,207.970001,772,610.820007,126.519997,46.959999,457.549988,70.25,74.849998,115.540001,147.009995,225.259995,98.910004,97.589996,105.75
11/15/2023,213.740005,204.289993,779.77002,588.539978,121.989998,46.810001,465.5,70.160004,75.370003,115.029999,147.199997,229.630005,98.800003,98.57,107.82
11/16/2023,213.300003,204.270004,764.390015,588.75,121.669998,47.900002,457.019989,70.040001,74.949997,111.989998,147.490005,229.460007,98.540001,98.57,107.610001
11/17/2023,214.630005,207.089996,779.75,591.710022,121.690002,47.509998,458.25,69.019997,75.400002,114.589996,147.710007,228,99.580002,98.459999,105.959999
11/20/2023,215.339996,207.729996,789.570007,597.599976,122.279999,46.299999,465.049988,70.760002,75.239998,115.389999,148.5,230.110001,99.959999,98.5,106.32
